label,sp,t,rpm,rpm_sp,out
baseline,80.0,4737015,67.54,80.0,0.0527
baseline,80.0,4737025,54.46,80.0,0.0741
baseline,80.0,4737035,53.84,80.0,0.0779
baseline,80.0,4737045,63.26,80.0,0.0656
baseline,80.0,4737055,52.52,80.0,0.0841
baseline,80.0,4737065,58.26,80.0,0.0782
baseline,80.0,4737075,82.99,80.0,0.0421
baseline,80.0,4737085,118.8,80.0,-0.014
baseline,80.0,4737095,140.82,80.0,-0.0522
baseline,80.0,4737105,116.47,80.0,-0.0207
baseline,80.0,4737115,79.91,80.0,0.0326
baseline,80.0,4737125,65.75,80.0,0.0547
baseline,80.0,4737135,68.52,80.0,0.0519
baseline,80.0,4737145,59.63,80.0,0.0668
baseline,80.0,4737155,59.63,80.0,0.0688
baseline,80.0,4737165,51.47,80.0,0.0836
baseline,80.0,4737175,54.59,80.0,0.0818
baseline,80.0,4737185,60.99,80.0,0.0744
baseline,80.0,4737195,69.84,80.0,0.0626
baseline,80.0,4737205,97.94,80.0,0.0199
baseline,80.0,4737215,122.86,80.0,-0.0207
baseline,80.0,4737225,131.17,80.0,-0.0383
baseline,80.0,4737235,99.52,80.0,0.0056
baseline,80.0,4737245,79.1,80.0,0.0358
baseline,80.0,4737255,82.39,80.0,0.0307
baseline,80.0,4737265,74.5,80.0,0.0424
baseline,80.0,4737275,62.73,80.0,0.0614
baseline,80.0,4737285,66.04,80.0,0.0581
baseline,80.0,4737295,68.93,80.0,0.0551
baseline,80.0,4737305,68.65,80.0,0.0566
baseline,80.0,4737315,67.27,80.0,0.0599
baseline,80.0,4737325,91.01,80.0,0.0243
baseline,80.0,4737335,122.62,80.0,-0.0261
baseline,80.0,4737345,128.66,80.0,-0.0401
baseline,80.0,4737355,87.75,80.0,0.0185
baseline,80.0,4737365,64.76,80.0,0.0537
baseline,80.0,4737375,70.63,80.0,0.0462
baseline,80.0,4737385,69.7,80.0,0.0483
baseline,80.0,4737395,51.95,80.0,0.077
baseline,80.0,4737405,49.23,80.0,0.0841
baseline,80.0,4737415,54.06,80.0,0.0795
baseline,80.0,4737425,50.49,80.0,0.0875
baseline,80.0,4737435,54.47,80.0,0.0844
baseline,80.0,4737445,72.68,80.0,0.0588
baseline,80.0,4737455,90.2,80.0,0.0323
baseline,80.0,4737465,121.4,80.0,-0.0172
baseline,80.0,4737475,138.79,80.0,-0.0486
baseline,80.0,4737485,115.36,80.0,-0.0185
baseline,80.0,4737495,81.65,80.0,0.0305
baseline,80.0,4737505,70.7,80.0,0.0478
baseline,80.0,4737515,69.23,80.0,0.051
baseline,80.0,4737525,62.65,80.0,0.062
baseline,80.0,4737535,51.67,80.0,0.0808
baseline,80.0,4737545,51.09,80.0,0.0845
baseline,80.0,4737555,55.63,80.0,0.0804
baseline,80.0,4737565,76.91,80.0,0.0498
baseline,80.0,4737575,94.89,80.0,0.0223
baseline,80.0,4737585,118.97,80.0,-0.0165
baseline,80.0,4737595,134.7,80.0,-0.0449
baseline,80.0,4737605,103.84,80.0,-0.0027
baseline,80.0,4737615,76.77,80.0,0.0375
baseline,80.0,4737625,84.22,80.0,0.0265
baseline,80.0,4737635,80.78,80.0,0.0313
baseline,80.0,4737645,64.27,80.0,0.057
baseline,80.0,4737655,56.21,80.0,0.0714
baseline,80.0,4737665,58.84,80.0,0.0696
baseline,80.0,4737675,59.15,80.0,0.0712
baseline,80.0,4737685,65.97,80.0,0.0629
baseline,80.0,4737695,92.57,80.0,0.0229
baseline,80.0,4737705,116.33,80.0,-0.0154
baseline,80.0,4737715,132.61,80.0,-0.0447
baseline,80.0,4737725,112.36,80.0,-0.0187
baseline,80.0,4737735,73.49,80.0,0.0385
baseline,80.0,4737745,60.74,80.0,0.0592
baseline,80.0,4737755,64.96,80.0,0.0546
baseline,80.0,4737765,66.81,80.0,0.0531
baseline,80.0,4737775,51.56,80.0,0.078
baseline,80.0,4737785,58.0,80.0,0.0711
baseline,80.0,4737795,63.12,80.0,0.0652
baseline,80.0,4737805,50.93,80.0,0.0861
baseline,80.0,4737815,60.12,80.0,0.075
baseline,80.0,4737825,85.02,80.0,0.0383
baseline,80.0,4737835,118.69,80.0,-0.0147
baseline,80.0,4737845,142.5,80.0,-0.0558
baseline,80.0,4737855,110.51,80.0,-0.0126
baseline,80.0,4737865,80.43,80.0,0.0313
baseline,80.0,4737875,66.25,80.0,0.0534
baseline,80.0,4737885,71.42,80.0,0.0469
baseline,80.0,4737895,63.5,80.0,0.0601
baseline,80.0,4737905,54.45,80.0,0.0759
baseline,80.0,4737915,52.51,80.0,0.0815
baseline,80.0,4737925,56.41,80.0,0.0783
baseline,80.0,4737935,58.9,80.0,0.0767
baseline,80.0,4737945,75.78,80.0,0.0527
baseline,80.0,4737955,99.22,80.0,0.0166
baseline,80.0,4737965,127.2,80.0,-0.029
baseline,80.0,4737975,128.39,80.0,-0.0359
baseline,80.0,4737985,93.72,80.0,0.0133
baseline,80.0,4737995,79.7,80.0,0.034
baseline,80.0,4738005,85.55,80.0,0.025
baseline,80.0,4738015,68.94,80.0,0.05
baseline,80.0,4738025,60.86,80.0,0.0638
baseline,80.0,4738035,64.97,80.0,0.059
baseline,80.0,4738045,65.65,80.0,0.0594
baseline,80.0,4738055,70.67,80.0,0.0531
baseline,80.0,4738065,71.14,80.0,0.0536
baseline,80.0,4738075,94.98,80.0,0.0175
baseline,80.0,4738085,122.53,80.0,-0.0269
baseline,80.0,4738095,123.08,80.0,-0.0325
baseline,80.0,4738105,85.9,80.0,0.0208
baseline,80.0,4738115,63.64,80.0,0.055
baseline,80.0,4738125,72.59,80.0,0.0428
baseline,80.0,4738135,66.63,80.0,0.0527
baseline,80.0,4738145,52.49,80.0,0.0759
baseline,80.0,4738155,50.03,80.0,0.0826
baseline,80.0,4738165,55.09,80.0,0.0777
baseline,80.0,4738175,48.18,80.0,0.0908
baseline,80.0,4738185,55.08,80.0,0.0833
baseline,80.0,4738195,72.24,80.0,0.0591
baseline,80.0,4738205,91.48,80.0,0.0299
baseline,80.0,4738215,121.83,80.0,-0.0184
baseline,80.0,4738225,136.17,80.0,-0.0452
baseline,80.0,4738235,112.94,80.0,-0.015
baseline,80.0,4738245,82.13,80.0,0.0298
baseline,80.0,4738255,70.45,80.0,0.0481
baseline,80.0,4738265,71.67,80.0,0.0472
baseline,80.0,4738275,61.9,80.0,0.0631
baseline,80.0,4738285,51.73,80.0,0.0807
baseline,80.0,4738295,52.18,80.0,0.083
baseline,80.0,4738305,58.01,80.0,0.077
baseline,80.0,4738315,75.74,80.0,0.0517
baseline,80.0,4738325,92.66,80.0,0.0261
baseline,80.0,4738335,115.04,80.0,-0.01
baseline,80.0,4738345,135.65,80.0,-0.0457
baseline,80.0,4738355,106.56,80.0,-0.0063
baseline,80.0,4738365,74.25,80.0,0.0416
baseline,80.0,4738375,81.63,80.0,0.0307
baseline,80.0,4738385,81.58,80.0,0.0304
baseline,80.0,4738395,60.91,80.0,0.0624
baseline,80.0,4738405,56.73,80.0,0.0709
baseline,80.0,4738415,61.97,80.0,0.0652
baseline,80.0,4738425,55.61,80.0,0.0768
baseline,80.0,4738435,67.33,80.0,0.0613
baseline,80.0,4738445,90.24,80.0,0.0268
baseline,80.0,4738455,115.83,80.0,-0.0141
baseline,80.0,4738465,132.09,80.0,-0.043
baseline,80.0,4738475,111.39,80.0,-0.0164
