label,duty,t,rpm,out
observer,0.06,144095,410.32,0.06
observer,0.06,144105,430.27,0.06
observer,0.06,144115,423.1,0.06
observer,0.06,144125,435.12,0.06
observer,0.06,144135,425.85,0.06
observer,0.06,144145,419.6,0.06
observer,0.06,144155,433.42,0.06
observer,0.06,144165,415.75,0.06
observer,0.06,144175,445.93,0.06
observer,0.06,144185,434.41,0.06
observer,0.06,144195,443.72,0.06
observer,0.06,144205,418.74,0.06
observer,0.06,144215,419.03,0.06
observer,0.06,144225,426.63,0.06
observer,0.06,144235,415.73,0.06
observer,0.06,144245,437.14,0.06
observer,0.06,144255,428.0,0.06
observer,0.06,144265,442.8,0.06
observer,0.06,144275,419.04,0.06
observer,0.06,144285,433.33,0.06
observer,0.06,144295,420.92,0.06
observer,0.06,144305,421.41,0.06
observer,0.06,144315,440.01,0.06
observer,0.06,144325,425.26,0.06
observer,0.06,144335,433.27,0.06
observer,0.06,144345,403.09,0.06
observer,0.06,144355,417.74,0.06
observer,0.06,144365,408.29,0.06
observer,0.06,144375,411.13,0.06
observer,0.06,144385,424.85,0.06
observer,0.06,144395,416.8,0.06
observer,0.06,144405,430.28,0.06
observer,0.06,144415,405.0,0.06
observer,0.06,144425,422.47,0.06
observer,0.06,144435,408.31,0.06
observer,0.06,144445,412.07,0.06
observer,0.06,144455,431.29,0.06
observer,0.06,144465,422.28,0.06
observer,0.06,144475,428.28,0.06
observer,0.06,144485,398.59,0.06
observer,0.06,144495,411.51,0.06
observer,0.06,144505,408.16,0.06
observer,0.06,144515,410.38,0.06
observer,0.06,144525,426.12,0.06
observer,0.06,144535,414.01,0.06
observer,0.06,144545,431.73,0.06
observer,0.06,144555,406.97,0.06
observer,0.06,144565,421.73,0.06
observer,0.06,144575,413.96,0.06
observer,0.06,144585,411.96,0.06
observer,0.06,144595,433.63,0.06
observer,0.06,144605,419.8,0.06
observer,0.06,144615,428.82,0.06
observer,0.06,144625,396.81,0.06
observer,0.06,144635,408.83,0.06
observer,0.06,144645,405.63,0.06
observer,0.06,144655,403.41,0.06
observer,0.06,144665,423.23,0.06
observer,0.06,144675,409.04,0.06
observer,0.06,144685,429.88,0.06
observer,0.06,144695,406.05,0.06
observer,0.06,144705,412.04,0.06
